"","institution","species","Lat","Lon","date"
"5007","Norsk zoologisk forening","Symphodus_melops",59.062676,10.450416,"17.08.2018 00:00:00"
"5008","Norsk zoologisk forening","Carassius_carassius",59.778,10.702097,"24.08.2018 00:00:00"
"5009","Norsk zoologisk forening","Gobius_niger",59.777398,10.710299,"24.08.2018 00:00:00"
"5010","Norsk zoologisk forening","Gobiusculus_flavescens",59.777398,10.709598,"24.08.2018 00:00:00"
"5011","Norsk zoologisk forening","Myoxocephalus_scorpius",59.777041,10.709868,"24.08.2018 00:00:00"
"5012","Norsk zoologisk forening","Scomber_scombrus",59.7597,10.582504,"26.08.2018 00:00:00"
"5013","Norsk zoologisk forening","Gadus_morhua",59.7597,10.582504,"26.08.2018 00:00:00"
"5014","Norsk zoologisk forening","Symphodus_melops",59.759501,10.5829,"26.08.2018 00:00:00"
"5015","Norsk zoologisk forening","Ctenolabrus_rupestris",59.759501,10.5829,"26.08.2018 00:00:00"
"5016","Norsk zoologisk forening","Limanda_limanda",59.524393,10.486403,"01.09.2018 00:00:00"
"5017","Norsk zoologisk forening","Gadus_morhua",59.759524,10.583538,"01.09.2018 00:00:00"
"5018","Norsk zoologisk forening","Pollachius_virens",59.759524,10.583538,"01.09.2018 00:00:00"
"5019","Norsk zoologisk forening","Scomber_scombrus",59.759524,10.583538,"01.09.2018 00:00:00"
"5020","Norsk zoologisk forening","Eutrigla_gurnardus",59.759524,10.583538,"01.09.2018 00:00:00"
"5021","Norsk zoologisk forening","Limanda_limanda",59.759524,10.583538,"01.09.2018 00:00:00"
"5022","Norsk zoologisk forening","Clupea_harengus",59.020033,10.826083,"01.04.2018 00:00:00"
"5023","Norsk zoologisk forening","Trisopterus_esmarkii",59.020033,10.826083,"01.04.2018 00:00:00"
"5024","Norsk zoologisk forening","Squalus_acanthias",59.020033,10.826083,"01.04.2018 00:00:00"
"5025","Norsk zoologisk forening","Taurulus_bubalis",59.634804,10.606058,"15.04.2018 00:00:00"
"5026","Norsk zoologisk forening","Hippoglossoides_platessoides",59.634804,10.606058,"15.04.2018 00:00:00"
"5027","Norsk zoologisk forening","Platichthys_flesus",59.634804,10.606058,"15.04.2018 00:00:00"
"5028","Norsk zoologisk forening","Solea_solea",59.634804,10.606058,"15.04.2018 00:00:00"
