"","Lon","Lat","species","value"
"549",10.3758333333333,59.1593333333333,"Ctenolabrus_rupestris",54
"551",10.3758333333333,59.1593333333333,"Ctenolabrus_rupestris",22
"552",10.3765,59.1648333333333,"Ctenolabrus_rupestris",1
"553",10.3923333333333,59.1743333333333,"Ctenolabrus_rupestris",50
"556",10.68732,59.85213,"Ctenolabrus_rupestris",4
"559",10.53356,59.22054,"Ctenolabrus_rupestris",2
"560",10.53668,59.21618,"Ctenolabrus_rupestris",5
"561",10.6873333333333,59.8521666666667,"Symphodus_melops",1
"562",10.732,59.8875,"Symphodus_melops",1
"564",10.3758333333333,59.1593333333333,"Symphodus_melops",24
"565",10.3923333333333,59.1743333333333,"Symphodus_melops",30
"566",10.3765,59.1648333333333,"Symphodus_melops",2
"567",10.3765,59.1648333333333,"Symphodus_melops",2
"568",10.3758333333333,59.1593333333333,"Symphodus_melops",13
"569",10.3923333333333,59.1743333333333,"Symphodus_melops",11
"570",10.732,59.8875,"Symphodus_melops",4
"571",10.6873333333333,59.8521666666667,"Symphodus_melops",15
"572",10.5538333333333,59.8555,"Symphodus_melops",1
"574",10.6873333333333,59.8521666666667,"Symphodus_melops",3
"578",10.3765,59.1648333333333,"Symphodus_melops",4
"579",10.3758333333333,59.1593333333333,"Symphodus_melops",86
"580",10.3923333333333,59.1743333333333,"Symphodus_melops",103
"581",10.519,59.2206666666667,"Symphodus_melops",2
"582",10.5335,59.2205,"Symphodus_melops",3
"583",10.5366666666667,59.2161666666667,"Symphodus_melops",47
"584",10.6873333333333,59.8521666666667,"Symphodus_melops",18
"587",10.5538333333333,59.8555,"Symphodus_melops",1
"588",10.3923333333333,59.1743333333333,"Symphodus_melops",25
"589",10.3758333333333,59.1593333333333,"Symphodus_melops",31
"591",10.3758333333333,59.1593333333333,"Symphodus_melops",28
"592",10.3765,59.1648333333333,"Symphodus_melops",7
"593",10.3923333333333,59.1743333333333,"Symphodus_melops",54
"595",10.56587,59.86135,"Symphodus_melops",7
"596",10.68732,59.85213,"Symphodus_melops",6
"597",10.73198,59.88758,"Symphodus_melops",4
"598",10.519,59.22066,"Symphodus_melops",17
"599",10.53356,59.22054,"Symphodus_melops",3
"600",10.53668,59.21618,"Symphodus_melops",13
