"","Lon","Lat","species","value"
"640",10.5075018,59.2390056,"Ctenolabrus_rupestris",4246
"641",10.4341126,59.0639565,"Ctenolabrus_rupestris",1021
"642",10.845383,59.134642,"Ctenolabrus_rupestris",135
"643",10.512778,59.733889,"Ctenolabrus_rupestris",2667
"644",10.66503333,59.86828333,"Ctenolabrus_rupestris",415
"646",10.66986667,59.86443333,"Ctenolabrus_rupestris",1256
"648",10.571389,59.675833,"Ctenolabrus_rupestris",2712
"651",10.585,59.663056,"Ctenolabrus_rupestris",3184
"652",10.3821,59.4724,"Ctenolabrus_rupestris",60
"653",10.393139,59.16525,"Ctenolabrus_rupestris",400
"654",10.519444,59.726667,"Ctenolabrus_rupestris",2614
"655",10.389444,59.171222,"Ctenolabrus_rupestris",17421
"660",10.519167,59.695556,"Ctenolabrus_rupestris",607
"662",10.633306,59.64925,"Ctenolabrus_rupestris",24
"663",10.723109,59.875003,"Ctenolabrus_rupestris",418
"664",10.67,59.92,"Ctenolabrus_rupestris",236
"665",10.5143874,59.8324791,"Ctenolabrus_rupestris",1151
"667",10.53,58.88,"Ctenolabrus_rupestris",117
"670",10.7166776,59.8842081,"Ctenolabrus_rupestris",502
"672",10.368889,59.155389,"Ctenolabrus_rupestris",422
"673",10.754722,59.868889,"Ctenolabrus_rupestris",369
"674",10.778583,59.872806,"Ctenolabrus_rupestris",430
"675",10.774639,59.842972,"Ctenolabrus_rupestris",210
"677",10.782444,59.854306,"Ctenolabrus_rupestris",854
"678",10.565982,59.878324,"Ctenolabrus_rupestris",115
"680",10.599488,59.874648,"Ctenolabrus_rupestris",26
"681",10.687774,59.85377,"Ctenolabrus_rupestris",38
"682",10.548964,59.847356,"Ctenolabrus_rupestris",4968
"684",10.609304,59.82083,"Ctenolabrus_rupestris",111
"686",10.5764111881125,59.8555285108815,"Ctenolabrus_rupestris",39
"688",10.5395683654512,59.8462089551144,"Ctenolabrus_rupestris",103
"689",10.68446,59.489083,"Ctenolabrus_rupestris",1006
"690",10.685589,59.482238,"Ctenolabrus_rupestris",195
"691",10.674155,59.463364,"Ctenolabrus_rupestris",4766
"692",10.660741,59.445949,"Ctenolabrus_rupestris",8094
"693",10.606443,59.649072,"Ctenolabrus_rupestris",89
"694",10.641683,59.426114,"Ctenolabrus_rupestris",2104
"695",10.616258,59.421166,"Ctenolabrus_rupestris",711
"696",10.594358,59.417073,"Ctenolabrus_rupestris",51
"697",10.58785,59.42649,"Ctenolabrus_rupestris",2191
"698",10.587394,59.432736,"Ctenolabrus_rupestris",652
"699",10.624563,59.478932,"Ctenolabrus_rupestris",609
"700",10.620177,59.46032,"Ctenolabrus_rupestris",2631
"701",10.521936,59.701987,"Ctenolabrus_rupestris",80
"702",10.604175,59.441273,"Ctenolabrus_rupestris",10047
"703",10.504374,59.283593,"Ctenolabrus_rupestris",862
"704",10.4939356,59.2473673,"Ctenolabrus_rupestris",181
"705",10.5737041,59.1883778,"Ctenolabrus_rupestris",3565
"706",10.5366347,59.2211262,"Ctenolabrus_rupestris",2714
"707",10.5988247,59.1758044,"Ctenolabrus_rupestris",5877
"708",10.47285,59.348569,"Ctenolabrus_rupestris",7906
"709",10.495182,59.266081,"Ctenolabrus_rupestris",5538
"710",10.530512,59.225725,"Ctenolabrus_rupestris",1660
"711",10.537972,59.212548,"Ctenolabrus_rupestris",954
"722",10.512778,59.733889,"Cyclopterus_lumpus",64
"748",10.6747926,59.8942799,"Cyclopterus_lumpus",666
"793",10.556143,59.205435,"Enchelyopus_cimbrius",71
"795",10.486574,59.260094,"Enchelyopus_cimbrius",39
"798",10.5075018,59.2390056,"Enchelyopus_cimbrius",28
"805",10.535367,59.80355,"Enchelyopus_cimbrius",53
"810",10.3821,59.4724,"Enchelyopus_cimbrius",80
"823",10.5143874,59.8324791,"Enchelyopus_cimbrius",22
"832",10.778583,59.872806,"Enchelyopus_cimbrius",51
"833",10.774639,59.842972,"Enchelyopus_cimbrius",71
"864",10.5366347,59.2211262,"Enchelyopus_cimbrius",48
"866",10.47285,59.348569,"Enchelyopus_cimbrius",28
"871",10.61246,59.873486,"Engraulis_encrasicolus",49
"874",10.486574,59.260094,"Engraulis_encrasicolus",31
"881",10.66503333,59.86828333,"Engraulis_encrasicolus",202
"893",10.699854,59.912147,"Engraulis_encrasicolus",378
"910",10.754722,59.868889,"Engraulis_encrasicolus",22
"911",10.778583,59.872806,"Engraulis_encrasicolus",125
"914",10.782444,59.854306,"Engraulis_encrasicolus",58
"915",10.565982,59.878324,"Engraulis_encrasicolus",32
"918",10.687774,59.85377,"Engraulis_encrasicolus",135
