"","Abramis_brama","Ammodytes_marinus","Anguilla_anguilla","Aphia","Aphia_minuta","Belone_belone","Buglossidium_luteum","Callionymus_lyra","Callionymus_maculatus","Ciliata","Ciliata_mustela","Ciliata_septentrionalis","Clupea_harengus","Clupeidae","Crystallogobius_linearis","Ctenolabrus","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis","Engraulis_encrasicolus","Entelurus_aequoreus","Eutrigla_gurnardus","Gadiculus_argenteus","Gadidae","Gadus_morhua","Gasterosteus","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius","Gobius_niger","Gobiusculus","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Labrus_mixtus","Lampetra_planeri","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Mallotus_villosus","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","no identification","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phoxinus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pleuronectidae","Pollachius","Pollachius_pollachius","Pollachius_virens","Pomatoschistus","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Rutilus","Rutilus_rutilus","Salmo","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Scyliorhinus_canicula","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_esmarkii","Trisopterus_minutus","Zeugopterus_punctatus"
"201_S91_L001_R1_001",0,0,0,251,22,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,6,0,966,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,169,0,60,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0
"203_S92_L001_R1_001",0,0,0,0,81,79,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,2121,0,0,0,0,0,0,0,0,0,0,505,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,296,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
"205_S93_L001_R1_001",0,0,31,0,53,0,0,0,0,0,0,0,0,0,0,0,369,0,0,20,22,0,0,0,0,223,0,27,0,0,160,0,1299,0,31,0,0,0,0,0,0,0,0,0,0,41,0,0,0,97,0,0,0,0,0,0,0,0,0,0,66,387,0,0,0,0,0,24,0,68,0,0,0,0,0,0,103,23,0,0,0,0,0,0,0,0,0
"21_S15_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,51,0,125,0,0,0,0,0,0,361,0,0,66,0,4993,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,957,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0
"23_S16_L001_R1_001",0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,210,0,71,0,0,0,0,0,0,0,0,0,0,0,211,0,1103,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,210,0,0,386,51,0,0,0,0,0,2570,1340,2007,0,0,0,0,0,3,0,59,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0
"24_S17_L001_R1_001",0,0,0,0,0,185,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,182,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25_S18_L001_R1_001",0,0,131,0,189,24,0,0,0,0,0,0,0,0,0,0,854,0,0,0,58,0,0,0,0,0,0,0,0,0,201,0,1213,0,0,0,0,0,0,168,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,152,51,1069,147,4192,0,0,0,0,0,0,0,244,602,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0
"2F_S60_L001_R1_001",0,934,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,400,0,0,0,0,179,0,0,0,0,1256,1018,0,0,0,0,1808,0,0,0,0,208,0,0,0,0,0,0,0,0,0,190,923,330,6293,1418,0,372,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2L_S61_L001_R1_001",0,1176,0,0,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,0,1087,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,2954,5990,0,0,1437,0,0,0,0,81,0,0,0,0,0,0,0,0,1336,0,0
"3F_S62_L001_R1_001",0,1352,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,2861,0,0,0,0,0,0,0,0,1140,0,0,0,57,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,4797,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3L_S63_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41_S19_L001_R1_001",0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,115,0,0,0,32,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0
"42_S20_L001_R1_001",0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"43_S21_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44_S22_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45_S23_L001_R1_001",0,0,0,0,80,14,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,176,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,0,0,24,0,0,0,0,0,0,0
"46_S24_L001_R1_001",0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,38,0,0,13,135,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,12,0,0,0,0,0,0,0
"47_S25_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"48_S26_L001_R1_001",0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,4968,0,0,39,570,0,0,34,0,11,0,0,0,0,0,32,193,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,36,0,48,0,0,0,0,0,28,0,0,0,14,0,17,0,0,0,0,0
"49_S27_L001_R1_001",0,0,0,128,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,168,775,0,0,83,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,223,0,0,0,0,0,153,0,501,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4F_S64_L001_R1_001",0,313,0,0,124,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,121,357,0,96,0,0,254,0,1730,0,0,0,0,38,0,0,0,0,0,303,0,499,0,0,0,0,0,0,749,0,112,0,0,338,0,0,0,0,0,0,109,153,10651,660,0,359,326,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0
"4L_S65_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,529,0,0,0,0,19,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,204,5687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50_S28_L001_R1_001",0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_S2_L001_R1_001",0,0,0,0,0,0,0,0,5,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,8,0,173,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64_S29_L001_R1_001",0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,0,0,0,0,0,0,0,56,0,150,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,0,532,0,0,0,0,0,23,0,19419,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
"74_S30_L001_R1_001",0,0,29,0,81,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,327,0,549,0,0,36,0,0,0,0,0,0,0,361,1050,0,0,0,0,0,0,105,401,2986,0,0,0,0,0,7629,3075,0,83,0,0,0,0,0,0,0,0,0,0,0,70,0,344,0,0,0,0,0,0,0,0,0,0
"75_S31_L001_R1_001",0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,828,19,0,367,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76_S32_L001_R1_001",0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,720,753,0,0,0,0,104,0,0,0,0,69,0,1549,0,0,42,0,0,0,0,0,0,0,0,0,41,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,28,0,0,0,0,0,0,0,8,552,0,0,87,0,613,0,0,0,0,0
"77_S33_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,3873,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912,0,0,0,0,0,0,0,0,0,0
"78_S34_L001_R1_001",0,0,117,0,158,144,0,0,0,0,0,0,0,0,0,0,4766,0,0,39,124,0,0,0,0,176,0,0,0,0,31,0,144,0,0,0,0,0,133,0,0,0,0,139,153,108,0,0,0,0,0,0,275,170,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,118,0,0,11,0,0,20,71,0,0,0,68,69,0,0,0,0,0
"79_S35_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094,0,0,0,938,0,0,0,0,381,0,0,0,0,5,0,0,0,103,0,0,0,0,0,0,0,0,0,0,302,0,0,0,168,0,0,0,0,0,0,0,163,0,0,101,0,0,0,0,0,0,96,0,778,0,388,0,0,0,8,334,0,0,0,0,0,0,0,0,0,252
"8_S3_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
"80_S36_L001_R1_001",0,0,342,0,106,0,0,0,0,0,590,0,8,0,0,0,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,168,0,333,0,0,0,0,129,0,0,0,0,0,0,0,125,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,108,0,0,0,0,0
"81_S37_L001_R1_001",0,0,82,0,13,21,0,0,0,0,0,0,0,0,0,0,711,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,0,0,0,0,0,0,1427,0,0,0,0,0,0,0,0,0,0
"82_S38_L001_R1_001",0,0,0,0,505,74,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,156,0,0,42,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,173,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,92,326,0,0,0,0,0,0,0,0,0,0
"83_S39_L001_R1_001",0,86,139,0,0,50,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,543,0,0,70,0,0,0,0,0,0,0,114,0,548,0,0,0,2857,0,0,70,81,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,2667,0,0,0,0,60,0,0,0,0,0
"84_S40_L001_R1_001",0,107,56,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0
"85_S41_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87_S42_L001_R1_001",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,31,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,403,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,88,0,0,763,0,0,0,0,307,0,0,0,0,0
"88_S43_L001_R1_001",0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0
"89_S44_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9_S4_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,90,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
"90_S45_L001_R1_001",0,0,42,0,126,49,0,0,0,0,238,0,0,0,0,38,10047,0,0,0,17,0,0,0,0,136,0,0,0,0,155,0,992,0,0,26,0,0,0,0,199,0,0,45,76,150,0,0,0,344,0,0,0,0,0,0,0,41,0,0,86,76,22,0,0,0,0,601,0,0,0,0,0,0,0,32,1865,0,0,0,0,49,0,0,0,0,0
"91_S46_L001_R1_001",0,0,0,0,0,169,0,0,0,0,90,0,0,0,0,0,862,0,0,0,25,0,0,0,0,38,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,114,406,0,0,0,369,0,0,0,66,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,163,0,64,4,0,0,0,1638,0,0,0,0,102,0,0,0,0,0
"92_S47_L001_R1_001",0,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,181,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,1365,0,0,0,0,0
"93_S48_L001_R1_001",0,0,0,0,0,181,0,0,0,0,52,0,0,71,0,0,3565,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,97,0,0,0,0,0,0,0,0,0,0,100,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,161,0,0,0,0,34,0,0,0,0,42
"94_S49_L001_R1_001",0,0,0,0,0,77,42,0,0,10,24,0,0,0,0,0,2714,0,48,0,0,0,0,0,0,0,0,0,0,0,4,0,128,0,0,169,0,0,39,0,0,0,0,65,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3604,0,0,0,11,0,224,885,0,0,0,0,127,0,0,0,0,0
"95_S50_L001_R1_001",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5877,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,62,0,0,891,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,715,42,0,0,77,0,75,1773,0,0,0,0,0,0,0,0,0,0
"96_S51_L001_R1_001",0,132,0,0,130,206,0,0,0,0,132,10,124,0,0,0,7906,0,28,0,27,0,0,0,0,34,0,0,0,0,6,0,38,0,0,0,0,0,0,0,33,0,0,0,225,0,0,0,0,61,0,0,210,79,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5888,0,0,0,52,0,0,178,0,34,0,0,0,0,0,0,0,0
"97_S52_L001_R1_001",0,0,0,0,40,33,6,0,0,0,0,0,103,0,5,0,5538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,12,0,0,0,0,0,0,2082,0,0,0,0,0,0,59,9,0,0,0,0,0,0,0,0,5372,53,102,0,8,0,23,31,13,0,0,0,0,0,0,0,0,0
"98_S53_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,244,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"99_S54_L001_R1_001",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,59,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20,0,52,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_S94_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_S95_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4468,0,0,0,0,0,0,0,256,4406,0,874,0,0,0,0,0,0,2434,0,0,0,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,0,0,0,0,0,0,0,0,0,0,140,5328,0,0,0,0,0
