;Abramis_brama;Ammodytes_marinus;Anguilla_anguilla;Aphia_minuta;Belone_belone;Buglossidium_luteum;Callionymus_lyra;Callionymus_maculatus;Ciliata_mustela;Ciliata_septentrionalis;Clupea_harengus;Crystallogobius_linearis;Ctenolabrus_rupestris;Cyclopterus_lumpus;Enchelyopus_cimbrius;Engraulis_encrasicolus;Entelurus_aequoreus;Eutrigla_gurnardus;Gadiculus_argenteus;Gadus_morhua;Gasterosteus_aculeatus;Glyptocephalus_cynoglossus;Gobius_niger;Gobiusculus_flavescens;Gymnocephalus_cernua;Hippoglossoides_platessoides;Labrus_bergylta;Labrus_mixtus;Lesueurigobius_friesii;Limanda_limanda;Liparis_montagui;Melanogrammus_aeglefinus;Merlangius_merlangus;Myoxocephalus_scorpius;no identification;Oncorhynchus_gorbuscha;Osmerus_eperlanus;Perca_fluviatilis;Pholis_gunnellus;Phrynorhombus_norvegicus;Platichthys_flesus;Pleuronectes_platessa;Pollachius_pollachius;Pollachius_virens;Pomatoschistus_microps;Pomatoschistus_minutus;Pomatoschistus_pictus;Raniceps_raninus;Salmo_salar;Salmo_trutta;Sardina_pilchardus;Scomber_scombrus;Scophthalmus_maximus;Scophthalmus_rhombus;Scyliorhinus_canicula;Solea_solea;Spinachia_spinachia;Sprattus_sprattus;Symphodus_melops;Syngnathus_acus;Syngnathus_rostellatus;Syngnathus_typhle;Taurulus_bubalis;Thunnus_alalunga;Trachinus_draco;Trisopterus_minutus;Zeugopterus_punctatus;;
;Brasme (Common bream);Havsil; ål;Glasskutling;Horngjel;glasstunge;Vanlig fløyfisk;flekket fløyfisk (Spotted dragonet);Firtraadet Tang-Brosme;nordlig tangbrosme;Sild;Krystallkutling;Bergnebb;Rognkjeks;Firetrådet tangbrosme (Fourbeard rockling);Ansjos (European anchovy);Stor havnål (Snake pipefish);Knurr;sølvtorsk;Torsk;Trepigget stingsild;Smørflyndre (Witch);Svartkutling;Tangkutling (Two-spotted goby);Hork;Gapeflyndre;Berggylt;Blåstål;Spisshalet kutling;Sandflyndre;Kystringbuk;Hyse;Hvitting;Vanlig ulke;;Pukkellaks;Krøkle;Abbor;Tangsprell;Småvar;Skrubbe;Rødspette;Lyr;Sei;Leirkutling;Sandkutling;Bergkutling;Paddetorsk;Laks;Ørret;Sardin;Makrell (Atlantic mackerel);Piggvar;Slettvar;Småflekket rødhai;Tunge;Tangstikling;Brisling;Grønngylt;Stor kantnål;Liten kantnål;Tangsnelle (Broadnosed pipefish);Dvergulke;Albakor;Fjesing;Sypike;Hårvar (Topknot);;
111_S64_L001_R1_001.fastq.gz;0;629;0;107;343;0;0;0;0;0;29;0;3;0;0;0;0;0;0;0;331;83;131;595;0;0;0;0;0;0;0;0;0;109;118;0;0;0;0;0;71;99;0;132;0;61;454;0;0;0;0;39;0;0;0;0;37;0;391;0;0;0;52;0;0;0;0;;
113_S65_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;1239;0;0;0;0;0;0;139;0;0;85;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;90;0;0;0;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
118_S66_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;26;0;0;0;53;0;0;0;0;6266;0;0;0;0;0;0;0;0;0;0;0;424;716;0;46;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;312;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;
12_S7_L001_R1_001.fastq.gz;0;0;0;76;0;0;0;0;0;0;0;0;2659;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
120_S67_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;158;0;0;0;0;0;0;0;0;105;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;147;;
121_S68_L001_R1_001.fastq.gz;0;0;0;564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;45;0;0;0;0;0;0;0;267;0;0;0;0;0;0;0;0;;
13_S8_L001_R1_001.fastq.gz;0;0;0;910;0;0;0;0;0;0;0;0;3135;0;0;0;0;0;0;0;0;0;269;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;787;2199;0;2;3842;396;409;0;0;0;0;326;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
134_S69_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;58;0;80;0;0;0;42;91;3;0;0;0;0;0;0;0;58;0;0;150;143;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;354;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;;
139_S70_L001_R1_001.fastq.gz;0;0;0;119;0;0;0;0;0;0;0;0;426;0;0;0;0;0;0;53;0;0;0;296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;332;76;0;0;0;0;495;0;0;0;84;0;0;255;0;0;0;155;0;0;0;0;;
14_S9_L001_R1_001.fastq.gz;0;0;0;190;0;0;0;0;0;0;0;0;2573;0;0;0;0;0;0;0;10;0;450;532;0;0;207;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334;68;25;0;0;0;0;1158;0;0;0;0;0;0;0;0;;
140_S71_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;440;0;17189;0;0;0;0;0;0;127;26;0;6;1154;0;0;41;0;0;0;0;0;0;0;32;0;0;0;34;0;0;0;0;26;0;146;190;30;0;0;0;75;0;0;0;0;46;45;82;0;0;0;91;0;0;0;0;;
141_S72_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;526;0;0;0;0;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
143_S73_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
144_S74_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735;0;0;0;0;0;727;737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
145_S75_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15_S10_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;595;0;0;0;0;0;0;0;158;0;123;149;0;0;0;0;0;0;0;0;0;0;833;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16_S11_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453;0;0;230;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;36;0;0;16;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
160_S76_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
162_S77_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;16;3;0;0;0;0;527;0;0;7;0;0;0;0;0;0;0;0;0;0;0;704;7;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;;
164_S78_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
167_S79_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
169_S80_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;411;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17_S12_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;0;2;235;0;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;24;0;0;0;107;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;;
170_S81_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;;
171_S82_L001_R1_001.fastq.gz;0;0;0;24;0;0;0;0;62;0;0;0;1132;0;20;0;0;0;0;61;44;32;18;239;0;73;22;0;16;0;0;0;0;80;335;0;0;0;16;0;170;122;0;30;434;64;493;0;0;0;0;553;87;0;0;0;0;0;495;0;0;0;125;0;0;0;0;;
173_S83_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;
178_S84_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;0;275;0;0;0;120;0;0;0;0;;
18_S13_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;68;140;0;43;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
186_S85_L001_R1_001.fastq.gz;0;0;0;15;11;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
187_S86_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;37;6;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19_S14_L001_R1_001.fastq.gz;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;23;0;0;0;0;0;17;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
190_S87_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;863;0;0;0;0;0;0;0;0;0;0;558;0;0;0;122;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
192_S88_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;272;0;0;643;0;0;0;0;0;0;0;0;10;3488;0;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2427;0;0;0;0;0;0;0;0;;
193_S89_L001_R1_001.fastq.gz;0;0;0;58;0;0;0;0;0;0;0;0;490;0;0;0;0;0;0;0;88;0;78;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
194_S90_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
201_S91_L001_R1_001.fastq.gz;0;0;0;22;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;6;963;0;0;0;0;0;0;0;0;189;0;247;0;0;0;0;0;0;0;0;0;0;157;0;0;0;158;0;56;0;0;0;0;0;0;353;0;0;0;0;0;0;0;0;;
203_S92_L001_R1_001.fastq.gz;0;0;0;80;79;0;0;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;9;2087;0;0;0;0;0;0;0;0;487;0;212;0;0;0;0;0;0;0;0;0;0;324;285;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;;
205_S93_L001_R1_001.fastq.gz;0;0;30;52;0;0;0;0;0;0;0;0;363;0;0;22;0;0;0;213;27;0;140;1308;0;31;0;0;0;0;0;0;0;0;61;0;0;0;91;0;0;0;0;0;0;63;371;0;0;19;0;59;0;0;0;0;0;0;99;21;0;0;0;0;0;0;0;;
21_S15_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;426;0;50;123;0;0;0;0;352;0;57;4904;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;666;0;0;0;0;866;0;0;0;0;0;0;616;0;0;0;0;0;0;0;0;;
23_S16_L001_R1_001.fastq.gz;0;0;0;208;0;0;0;0;0;0;0;0;205;0;68;0;0;0;0;0;0;0;180;1056;0;0;0;0;0;119;0;0;0;0;0;0;0;0;199;0;373;49;0;0;2380;1254;1846;0;0;2;0;44;0;0;0;0;0;0;522;0;0;0;0;0;0;0;0;;
24_S17_L001_R1_001.fastq.gz;0;0;0;0;183;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;181;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25_S18_L001_R1_001.fastq.gz;0;0;126;185;24;0;0;0;0;0;0;0;835;0;0;55;0;0;0;0;0;0;182;1186;0;0;0;0;0;164;0;0;0;56;49;0;0;0;0;0;0;0;0;148;1037;144;4016;0;0;0;0;221;592;0;0;0;0;0;2788;0;0;0;0;0;0;0;0;;
